LD      LU      RD      RU      Ctrl    UDM
28.75    -5.62    -5.21    9.02     0        0
28.75    -5.62    -5.2     9.02     0        0
28.74    -5.61    -5.19    9.02     0        0
28.74    -5.6     -5.21    9.05     0        0
28.74    -5.6     -5.21    9.04     0        0
28.73    -5.61    -5.2     9.02     0        0
28.73    -5.64    -5.2     9.01     0        0
28.72    -5.63    -5.19    9.0      0        0
28.72    -5.61    -5.18    9.0      0        0
28.72    -5.62    -5.19    9.0      0        0
28.73    -5.62    -5.18    9.0      0        0
28.73    -5.64    -5.18    9.01     0        0
28.74    -5.63    -5.19    9.04     0        0
28.75    -5.61    -5.18    9.08     0        0
28.75    -5.58    -5.2     9.15     0        0
28.75    -5.55    -5.21    9.19     0        0
28.76    -5.55    -5.21    9.19     0        0
28.75    -5.57    -5.21    9.18     0        0
28.76    -5.61    -5.23    9.15     34       0
28.76    -5.62    -5.23    9.15     0        0
28.77    -5.62    -5.23    9.16     0        0
28.77    -5.61    -5.25    9.15     0        0
28.77    -5.61    -5.25    9.13     0        0
28.76    -5.61    -5.23    9.1      0        0
28.76    -5.62    -5.24    9.07     0        0
28.76    -5.64    -5.23    9.06     0        0
28.75    -5.65    -5.22    9.06     0        0
28.75    -5.65    -5.22    9.07     0        0
28.75    -5.66    -5.22    9.09     0        0
28.75    -5.66    -5.2     9.11     0        0
28.75    -5.65    -5.18    9.12     0        0
28.75    -5.62    -5.19    9.12     0        0
28.75    -5.63    -5.18    9.12     0        0
28.75    -5.65    -5.18    9.12     0        0
28.74    -5.68    -5.22    9.1      0        0
28.74    -5.69    -5.2     9.07     0        0
28.74    -5.71    -5.18    9.06     0        0
28.73    -5.7     -5.19    9.04     0        0
28.72    -5.7     -5.17    9.05     0        0
28.72    -5.68    -5.19    9.06     0        0
28.72    -5.67    -5.18    9.03     0        0
28.72    -5.66    -5.19    9.03     0        0
28.73    -5.65    -5.16    9.02     0        0
28.73    -5.65    -5.16    9.04     0        0
28.73    -5.63    -5.16    9.07     0        0
28.73    -5.57    -5.16    9.09     0        0
28.73    -5.54    -5.13    9.09     0        0
28.73    -5.51    -5.14    9.07     0        0
28.73    -5.51    -5.15    9.07     0        0
28.73    -5.53    -5.16    9.07     0        0
28.73    -5.52    -5.15    9.07     0        0
28.73    -5.51    -5.15    9.09     0        0
28.73    -5.52    -5.17    9.1      0        0
28.73    -5.51    -5.18    9.09     0        0
28.72    -5.5     -5.18    9.1      0        0
28.72    -5.51    -5.19    9.12     0        0
28.71    -5.53    -5.21    9.12     0        0
28.71    -5.56    -5.23    9.1      0        0
28.7     -5.57    -5.23    9.06     34       0
28.7     -5.58    -5.23    9.04     0        0
28.7     -5.58    -5.23    9.02     0        0
28.71    -5.58    -5.23    9.02     0        0
28.71    -5.59    -5.24    9.01     0        0
28.71    -5.6     -5.24    9.0      0        0
28.72    -5.59    -5.23    9.0      0        0
28.73    -5.58    -5.22    9.0      0        0
28.73    -5.57    -5.24    8.99     0        0
28.73    -5.57    -5.26    9.0      0        0
28.73    -5.55    -5.25    9.02     0        0
28.73    -5.53    -5.24    9.02     0        0
28.73    -5.53    -5.24    9.03     0        0
28.72    -5.53    -5.25    9.03     0        0
28.72    -5.52    -5.25    9.06     0        0
28.72    -5.51    -5.22    9.08     0        0
28.72    -5.48    -5.23    9.12     0        0
28.74    -5.48    -5.23    9.2      0        0
