LD      LU      RD      RU      Ctrl    UDM
-2.13    1.55     -0.92    -0.15    0        0
-2.16    1.57     -0.92    -0.16    0        0
-2.18    1.57     -0.94    -0.17    0        0
-2.2     1.58     -0.93    -0.16    0        0
-2.22    1.58     -0.93    -0.16    0        0
-2.24    1.59     -0.93    -0.17    0        0
-2.26    1.59     -0.92    -0.17    0        0
-2.29    1.6      -0.92    -0.18    0        0
-2.31    1.62     -0.92    -0.17    0        0
-2.33    1.64     -0.92    -0.16    0        0
-2.35    1.65     -0.93    -0.16    0        0
-2.37    1.67     -0.95    -0.16    0        0
-2.39    1.68     -0.95    -0.16    0        0
-2.41    1.69     -0.94    -0.15    0        0
-2.43    1.7      -0.94    -0.15    0        0
-2.46    1.7      -0.93    -0.17    0        0
-2.48    1.73     -0.95    -0.17    0        0
-2.5     1.74     -0.95    -0.17    0        0
-2.51    1.74     -0.96    -0.18    0        0
-2.53    1.75     -0.97    -0.17    0        0
-2.55    1.75     -0.98    -0.16    0        0
-2.57    1.75     -0.98    -0.16    0        0
-2.59    1.75     -1.0     -0.16    0        0
-2.61    1.75     -0.99    -0.15    0        0
-2.63    1.75     -1.0     -0.16    0        0
-2.65    1.76     -1.0     -0.16    0        0
-2.67    1.78     -1.01    -0.16    0        0
-2.69    1.79     -1.01    -0.15    0        0
-2.7     1.8      -1.02    -0.16    0        0
-2.72    1.81     -1.04    -0.16    34       0
-2.74    1.81     -1.08    -0.15    0        0
-2.75    1.8      -1.08    -0.14    0        0
-2.77    1.8      -1.08    -0.13    0        0
-2.78    1.79     -1.09    -0.13    0        0
-2.8     1.81     -1.1     -0.12    0        0
-2.82    1.81     -1.12    -0.12    0        0
-2.84    1.82     -1.12    -0.12    0        0
-2.85    1.82     -1.11    -0.12    0        0
-2.87    1.83     -1.11    -0.12    0        0
-2.89    1.85     -1.12    -0.12    0        0
-2.9     1.84     -1.12    -0.12    0        0
-2.92    1.85     -1.12    -0.11    0        0
-2.94    1.85     -1.13    -0.11    0        0
-2.96    1.84     -1.13    -0.1     0        0
-2.98    1.87     -1.13    -0.09    0        0
-3.0     1.89     -1.13    -0.08    0        0
-3.01    1.9      -1.13    -0.07    0        0
-3.03    1.9      -1.12    -0.07    0        0
-3.04    1.91     -1.11    -0.07    0        0
-3.06    1.9      -1.12    -0.06    0        0
-3.08    1.91     -1.12    -0.06    0        0
-3.09    1.92     -1.13    -0.07    0        0
-3.11    1.92     -1.14    -0.07    0        0
-3.12    1.92     -1.14    -0.07    0        0
-3.14    1.92     -1.16    -0.07    0        0
-3.15    1.93     -1.17    -0.07    0        0
-3.16    1.93     -1.19    -0.06    0        0
-3.18    1.95     -1.21    -0.06    0        0
-3.19    1.96     -1.21    -0.06    0        0
-3.21    1.96     -1.21    -0.06    0        0
-3.22    1.95     -1.21    -0.06    0        0
-3.24    1.98     -1.21    -0.06    0        0
-3.24    1.98     -1.21    -0.06    0        0
-3.26    1.99     -1.21    -0.06    0        0
-3.28    1.99     -1.21    -0.07    0        0
-3.29    1.99     -1.22    -0.08    0        0
-3.3     2.02     -1.2     -0.08    0        0
-3.31    2.02     -1.19    -0.07    0        0
-3.32    2.02     -1.2     -0.07    0        0
-3.34    2.03     -1.19    -0.08    34       0
-3.36    2.04     -1.21    -0.1     0        0
-3.37    2.04     -1.21    -0.1     0        0
-3.39    2.04     -1.21    -0.11    0        0
-3.4     2.04     -1.21    -0.11    0        0
-3.42    2.05     -1.23    -0.11    0        0
-3.43    2.06     -1.22    -0.11    0        0
-3.45    2.07     -1.2     -0.12    0        0
-3.46    2.06     -1.21    -0.13    0        0
-3.48    2.06     -1.21    -0.13    0        0
-3.49    2.07     -1.2     -0.13    0        0
-3.5     2.07     -1.19    -0.13    0        0
-3.51    2.06     -1.2     -0.13    0        0
-3.53    2.05     -1.18    -0.13    0        0
-3.54    2.04     -1.17    -0.13    0        0
-3.55    2.04     -1.17    -0.12    0        0
-3.55    2.05     -1.17    -0.11    0        0
-3.57    2.04     -1.16    -0.1     0        0
-3.58    2.04     -1.16    -0.11    0        0
-3.59    2.03     -1.16    -0.1     0        0
-3.6     2.04     -1.16    -0.1     0        0
-3.61    2.06     -1.15    -0.11    0        0
-3.63    2.07     -1.16    -0.11    0        0
-3.64    2.08     -1.17    -0.12    0        0
-3.66    2.08     -1.17    -0.13    0        0
-3.67    2.08     -1.17    -0.14    0        0
-3.68    2.09     -1.18    -0.15    0        0
-3.69    2.09     -1.17    -0.14    0        0
-3.7     2.09     -1.16    -0.14    0        0
-3.71    2.09     -1.16    -0.13    0        0
-3.72    2.1      -1.14    -0.12    0        0
-3.73    2.11     -1.14    -0.12    0        0
-3.73    2.13     -1.13    -0.11    0        0
-3.74    2.12     -1.13    -0.12    0        0
-3.76    2.12     -1.13    -0.12    0        0
-3.77    2.13     -1.13    -0.12    0        0
-3.78    2.13     -1.11    -0.11    0        0
-3.79    2.13     -1.13    -0.11    0        0
-3.8     2.14     -1.14    -0.11    0        0
-3.82    2.14     -1.15    -0.11    0        0
-3.83    2.15     -1.14    -0.11    34       0
-3.85    2.15     -1.15    -0.12    0        0
-3.86    2.14     -1.14    -0.11    0        0
-3.87    2.13     -1.14    -0.11    0        0
-3.89    2.13     -1.14    -0.12    0        0
-3.89    2.13     -1.14    -0.12    0        0
-3.91    2.12     -1.15    -0.11    0        0
-3.9     2.13     -1.15    -0.11    0        0
-3.89    2.13     -1.14    -0.12    0        0
-3.89    2.11     -1.14    -0.12    0        0
-3.88    2.1      -1.16    -0.12    0        0
-3.83    2.11     -1.17    -0.12    0        0
-3.87    2.1      -1.17    -0.12    0        0
-3.88    2.11     -1.17    -0.13    0        0
-3.91    2.12     -1.17    -0.12    0        0
-3.94    2.14     -1.18    -0.12    0        0
-4.0     2.14     -1.16    -0.12    0        0
-3.56    2.15     -1.16    -0.13    0        0
-3.38    2.15     -1.18    -0.13    0        0
-4.42    2.17     -1.19    -0.13    0        0
-6.18    2.16     -1.17    -0.13    0        0
-9.67    2.17     -1.17    -0.13    0        0
-12.52   2.18     -1.17    -0.13    0        0
-14.62   2.18     -1.18    -0.13    0        0
-16.29   2.18     -1.19    -0.12    0        0
-18.11   2.19     -1.19    -0.13    0        0
-20.13   2.18     -1.2     -0.13    0        0
-22.34   2.18     -1.2     -0.13    0        0
-24.86   2.19     -1.19    -0.15    0        0
-27.31   2.18     -1.2     -0.15    0        0
-28.94   2.17     -1.21    -0.16    0        0
-30.0    2.17     -1.21    -0.15    0        0
-31.38   2.18     -1.2     -0.16    0        0
-33.06   2.19     -1.19    -0.16    0        0
-34.53   2.19     -1.17    -0.17    0        0
-36.15   2.19     -1.17    -0.18    0        0
-37.85   2.2      -1.17    -0.17    0        0
-39.23   2.19     -1.17    -0.16    0        0
-40.09   2.21     -1.17    -0.16    0        0
-39.83   2.2      -1.17    -0.16    0        0
-38.53   2.2      -1.18    -0.16    34       0
-37.74   2.21     -1.18    -0.15    0        0
-38.23   2.21     -1.17    -0.16    0        0
-38.0    2.21     -1.17    -0.16    0        0
-36.61   2.2      -1.17    -0.15    0        0
-34.17   2.21     -1.18    -0.16    0        0
-31.44   2.2      -1.18    -0.17    0        0
-29.72   2.2      -1.18    -0.17    0        0
-29.32   2.21     -1.17    -0.17    0        0
-29.36   2.21     -1.17    -0.17    0        0
-28.89   2.2      -1.18    -0.18    0        0
-28.4    2.21     -1.18    -0.17    0        0
-29.32   2.21     -1.19    -0.16    0        0
-31.19   2.2      -1.18    -0.15    0        0
-33.23   2.21     -1.18    -0.15    0        0
-35.01   2.19     -1.19    -0.14    0        0
-36.2    2.19     -1.21    -0.14    0        0
-36.87   2.2      -1.22    -0.15    0        0
-37.27   2.19     -1.21    -0.13    0        0
-37.7    2.18     -1.24    -0.13    0        0
-37.53   2.17     -1.24    -0.12    0        0
-36.96   2.17     -1.24    -0.12    0        0
-7.7     2.16     -1.25    -0.13    0        0
-35.77   2.15     -1.25    -0.14    0        0
-35.58   2.17     -1.24    -0.14    0        0
-35.27   2.18     -1.27    -0.14    0        0
-35.06   2.18     -1.27    -0.14    0        0
-34.8    2.19     -1.28    -0.14    0        0
-34.6    2.2      -1.28    -0.14    0        0
-11.47   2.2      -1.27    -0.14    0        0
-35.22   2.22     -1.26    -0.14    0        0
-11.88   2.25     -1.25    -0.14    0        0
-35.21   2.25     -1.26    -0.15    0        0
-35.01   2.23     -1.27    -0.15    0        0
-34.36   2.23     -1.25    -0.13    0        0
-33.47   2.23     -1.26    -0.14    0        0
-33.56   2.23     -1.26    -0.14    0        0
-32.85   2.22     -1.25    -0.14    0        0
325.07   -325.46  -1.24    -0.16    0        0
-28.54   2.22     -1.22    -0.16    0        0
-5.28    -325.46  -1.25    -0.16    34       0
-23.9    2.23     -1.27    -0.16    0        0
-22.01   2.22     -1.27    -0.16    0        0
-20.36   2.23     -1.27    -0.16    0        0
-17.94   166.07   -1.28    -0.16    0        0
-12.95   2.15     -1.31    -0.13    0        0
326.26   -161.68  -1.33    -0.13    0        0
-10.46   2.15     -1.34    -0.14    0        0
-3.9     2.16     -1.35    -0.15    0        0
-7.42    2.16     -1.34    -0.15    0        0
-6.15    2.17     -1.32    -0.14    0        0
-5.2     2.16     -1.31    -0.14    0        0
-4.26    2.16     -1.31    -0.14    0        0
-2.9     2.18     -1.3     -0.16    0        0
-2.05    2.19     -1.31    -0.17    0        0
-1.27    2.17     -1.33    -0.16    0        0
-0.78    2.18     -1.35    -0.15    0        0
-0.38    2.18     -1.37    -0.15    0        0
0.03     2.18     -1.37    -0.14    0        0
