LD      LU      RD      RU      Ctrl    UDM
28.7     -5.62    -4.97    7.39     0        0
28.7     -5.71    -4.76    7.32     0        0
28.71    -5.63    -4.76    7.23     0        0
28.71    -5.67    -4.91    7.13     0        0
28.71    -5.6     -4.9     7.02     0        0
28.71    -5.61    -4.9     6.92     0        0
28.71    -5.57    -5.06    6.86     0        0
28.7     -5.56    -5.04    6.81     0        0
28.7     -5.54    -4.98    6.83     0        0
28.68    -5.54    -5.05    6.87     0        0
28.68    -5.53    -5.07    6.95     0        0
28.67    -5.51    -5.04    6.97     0        0
28.67    -5.49    -5.07    6.99     0        0
28.66    -5.5     -5.08    7.04     0        0
28.67    -5.5     -5.06    7.12     0        0
28.68    -5.5     -5.07    7.22     0        0
28.68    -5.48    -5.1     7.27     0        0
28.69    -5.48    -5.08    7.32     0        0
28.69    -5.46    -5.07    7.34     0        0
28.69    -5.47    -5.1     7.36     0        0
28.7     -5.45    -5.13    7.38     0        0
28.7     -5.44    -5.12    7.4      0        0
28.71    -5.44    -5.13    7.43     0        0
28.72    -5.44    -5.13    7.5      0        0
28.73    -5.42    -5.13    7.59     0        0
28.75    -5.43    -5.17    7.65     0        0
28.75    -5.44    -5.17    7.71     0        0
28.76    -5.45    -5.17    7.71     0        0
28.76    -5.46    -5.16    7.7      0        0
28.76    -5.46    -5.17    7.7      0        0
28.76    -5.47    -5.19    7.71     0        0
28.76    -5.47    -5.2     7.72     0        0
28.76    -5.47    -5.21    7.72     0        0
28.76    -5.47    -5.19    7.72     0        0
28.74    -5.47    -5.21    7.72     0        0
28.74    -5.47    -5.21    7.7      0        0
28.74    -5.45    -5.2     7.7      34       0
28.74    -5.45    -5.2     7.71     0        0
28.74    -5.43    -5.21    7.73     0        0
28.74    -5.42    -5.22    7.73     0        0
28.74    -5.42    -5.22    7.73     0        0
28.74    -5.42    -5.24    7.73     0        0
28.74    -5.44    -5.23    7.76     0        0
28.75    -5.45    -5.25    7.77     0        0
28.75    -5.45    -5.27    7.77     0        0
28.75    -5.46    -5.27    7.76     0        0
28.75    -5.46    -5.27    7.76     0        0
28.75    -5.46    -5.29    7.8      0        0
28.75    -5.45    -5.3     7.82     0        0
28.74    -5.46    -5.3     7.83     0        0
28.73    -5.47    -5.29    7.8      0        0
28.73    -5.48    -5.3     7.82     0        0
28.72    -5.47    -5.29    7.83     0        0
28.72    -5.47    -5.29    7.83     0        0
28.72    -5.47    -5.29    7.85     0        0
28.71    -5.47    -5.29    7.85     0        0
28.72    -5.47    -5.31    7.85     0        0
28.74    -5.47    -5.31    7.85     0        0
28.75    -5.47    -5.3     7.85     0        0
28.76    -5.48    -5.29    7.86     0        0
28.76    -5.47    -5.28    7.86     0        0
28.76    -5.48    -5.26    7.85     0        0
28.75    -5.47    -5.25    7.84     0        0
28.75    -5.46    -5.24    7.82     0        0
28.76    -5.46    -5.23    7.81     0        0
28.76    -5.47    -5.24    7.81     0        0
28.76    -5.47    -5.25    7.81     0        0
28.76    -5.46    -5.24    7.81     0        0
28.76    -5.46    -5.24    7.84     0        0
28.76    -5.46    -5.25    7.88     0        0
28.76    -5.45    -5.23    7.91     0        0
28.76    -5.45    -5.22    7.94     0        0
28.76    -5.43    -5.22    7.95     0        0
28.75    -5.43    -5.21    7.94     0        0
28.75    -5.44    -5.22    7.93     0        0
28.74    -5.45    -5.21    7.93     0        0
28.74    -5.46    -5.21    7.92     34       0
28.73    -5.44    -5.22    7.93     0        0
28.73    -5.45    -5.21    7.92     0        0
28.73    -5.44    -5.21    7.94     0        0
28.74    -5.43    -5.21    7.96     0        0
28.74    -5.41    -5.2     7.94     0        0
28.74    -5.41    -5.19    7.93     0        0
28.75    -5.42    -5.19    7.93     0        0
28.77    -5.42    -5.19    7.95     0        0
28.77    -5.43    -5.2     7.96     0        0
28.76    -5.45    -5.2     7.97     0        0
28.76    -5.46    -5.19    7.97     0        0
28.75    -5.47    -5.21    7.96     0        0
28.75    -5.46    -5.22    7.94     0        0
28.75    -5.46    -5.21    7.92     0        0
28.75    -5.47    -5.22    7.89     0        0
28.75    -5.48    -5.23    7.9      0        0
28.74    -5.49    -5.23    7.91     0        0
28.74    -5.49    -5.21    7.91     0        0
28.74    -5.49    -5.19    7.9      0        0
28.74    -5.48    -5.21    7.89     0        0
28.75    -5.47    -5.22    7.89     0        0
28.75    -5.45    -5.24    7.89     0        0
28.76    -5.44    -5.23    7.91     0        0
28.76    -5.44    -5.23    7.96     0        0
28.76    -5.45    -5.23    7.98     0        0
28.75    -5.43    -5.23    7.96     0        0
28.76    -5.43    -5.22    7.95     0        0
28.76    -5.42    -5.21    7.95     0        0
28.76    -5.42    -5.22    7.96     0        0
28.77    -5.42    -5.24    7.98     0        0
28.77    -5.43    -5.25    8.0      0        0
28.77    -5.43    -5.24    8.0      0        0
28.77    -5.43    -5.24    8.01     0        0
28.76    -5.44    -5.24    8.02     0        0
28.75    -5.44    -5.24    8.05     0        0
28.76    -5.43    -5.25    8.06     0        0
28.76    -5.44    -5.24    8.06     0        0
28.76    -5.45    -5.23    8.07     0        0
28.76    -5.45    -5.23    8.09     0        0
28.75    -5.43    -5.22    8.12     34       0
28.74    -5.42    -5.21    8.18     0        0
28.74    -5.42    -5.19    8.21     0        0
28.74    -5.43    -5.19    8.24     0        0
28.74    -5.44    -5.2     8.25     0        0
28.73    -5.44    -5.18    8.27     0        0
28.73    -5.45    -5.18    8.3      0        0
28.72    -5.45    -5.2     8.33     0        0
28.71    -5.45    -5.21    8.37     0        0
28.71    -5.45    -5.19    8.41     0        0
28.71    -5.45    -5.23    8.43     0        0
28.71    -5.45    -5.22    8.45     0        0
28.71    -5.44    -5.25    8.47     0        0
28.71    -5.44    -5.25    8.48     0        0
28.71    -5.44    -5.23    8.49     0        0
28.72    -5.43    -5.24    8.5      0        0
28.73    -5.43    -5.25    8.53     0        0
28.73    -5.43    -5.24    8.58     0        0
28.73    -5.43    -5.24    8.56     0        0
28.72    -5.42    -5.24    8.6      0        0
28.72    -5.4     -5.24    8.61     0        0
